,Rank,full_name,Pos,Team(s) played for (years)[b],Total points,Games  played,Points  per game[c],Field goalsmade,Three-pointfield goalsmade[d],Free  throws made
Dirk Nowitzki†,,,,,"31,560",,20.7,"11,169","1,982","7,240"
Dominique Wilkins*,,,,,"26,668",,24.8,"9,963",711,"6,031"
Dwyane Wade†,,,,,"23,165",,22.0,"8,454",549,"5,708"
Elgin Baylor*,,,,,"23,149",,27.4,"8,693",,"5,763"
Elvin Hayes*,,,,,"27,313",,21.0,"10,976",5,"5,356"
Gary Payton*,,,,,"21,813",,16.3,"8,708","1,132","3,265"
George Gervin*,,,,,"20,708",,26.2,"8,045",77,"4,541"
Hakeem Olajuwon*,,,,,"26,946",,21.8,"10,749",25,"5,423"
Hal Greer*,,,,,"21,586",,19.2,"8,504",,"4,578"
James Harden^,,,,,"22,542",,25.0,"6,655","2,506","6,726"
Jerry West*,,,,,"25,192",,27.0,"9,016",,"7,160"
Joe Johnson§,,,,,"20,405",,16.0,"7,822","1,978","2,783"
John Havlicek*,,,,,"26,395",,20.8,"10,513",,"5,369"
John Stockton*,,,,,"19,711",,13.1,"7,039",845,"4,788"
Kareem Abdul-Jabbar*,,,,,"38,387",,24.6,"15,837",1,"6,712"
Karl Malone*,,,,,"36,928",,25.0,"13,528",85,"9,787"
Kevin Durant^,,,,,"24,536",,27.1,"8,376","1,695","6,089"
Kevin Garnett*,,,,,"26,071",,17.8,"10,505",174,"4,887"
Kobe Bryant*,,,,,"33,643",,25.0,"11,719","1,827","8,378"
LaMarcus Aldridge^,,,,,"20,270",,19.3,"8,197",223,"3,653"
Larry Bird*,,,,,"21,791",,24.3,"8,591",649,"3,960"
LeBron James^,,,,,"35,704",,27.0,"13,031","2,015","7,627"
Michael Jordan*,,,,,"32,292",,30.1,"12,192",581,"7,327"
Mitch Richmond*,,,,,"20,497",,21.0,"7,305","1,326","4,561"
Moses Malone*,,,,,"27,409",,20.6,"9,435",8,"8,531"
Oscar Robertson*,,,,,"26,710",,25.7,"9,508",,"7,694"
Patrick Ewing*,,,,,"24,815",,21.0,"9,702",19,"5,392"
Pau Gasol†,,,,,"20,894",,17.0,"7,980",179,"4,755"
Paul Pierce*,,,,,"26,397",,19.7,"8,668","2,143","6,918"
Ray Allen*,,,,,"24,505",,18.9,"8,567","2,973","4,398"
Reggie Miller*,,,,,"25,279",,18.2,"8,241","2,560","6,237"
Robert Parish*,,,,,"23,334",,14.5,"9,614",0,"4,106"
Russell Westbrook^,,,,,"22,367",,23.1,"7,964","1,097","5,342"
Shaquille O'Neal*,,,,,"28,596",,23.7,"11,330",1,"5,935"
Tim Duncan*,,,,,"26,496",,19.0,"10,285",30,"5,896"
Tom Chambers,,,,,"20,049",,18.1,"7,378",227,"5,066"
Vince Carter†,,,,,"25,728",,16.7,"9,293","2,290","4,852"
Walt Bellamy*,,,,,"20,941",,20.1,"7,914",,"5,113"
Wilt Chamberlain*,,,,,"31,419",,30.1,"12,681",,"6,057"
